Dags reiknings,Kassanúmer,Vörunúmer,Lýsing,Magn,Upphæð m/VSK,Lýsing-stem,Price Per,ID
2020-04-01,2.0,2060,elvis ,1.0,1190,['elvi'],1190.0,19
2020-04-01,2.0,2060,elvis ,1.0,1190,['elvi'],1190.0,19
2020-04-01,2.0,5001,engiferot,1.0,390,['engiferot'],390.0,6
2020-04-01,2.0,5001,engiferot,1.0,390,['engiferot'],390.0,6
2020-04-01,2.0,2008,spicy chicken,1.0,1690,"['spici', 'chicken']",1690.0,75
2020-04-01,2.0,2069,chilli tabasco,1.0,110,"['chilli', 'tabasco']",110.0,6
2020-04-01,2.0,2003,spicy tuna,1.0,1690,"['spici', 'tuna']",1690.0,77
2020-04-01,2.0,1021,winston wolf ,1.0,1190,"['winston', 'wolf']",1190.0,92
2020-04-01,2.0,2067,avókadó,1.0,220,['avókadó'],220.0,6
2020-04-01,2.0,2068,ávextir grænmeti,1.0,165,"['ávextir', 'grænmeti']",165.0,6
2020-04-01,2.0,6028,parmella,1.0,1195,['parmella'],1195.0,65
2020-04-01,2.0,6028,parmella,1.0,1195,['parmella'],1195.0,65
2020-04-01,2.0,6039,alabama,1.0,1195,['alabama'],1195.0,0
2020-04-01,2.0,6039,alabama,1.0,1195,['alabama'],1195.0,0
2020-04-01,2.0,000004,lítil poki,1.0,20,"['lítil', 'poki']",20.0,50
2020-04-01,21.0,2004,spicy vegan,1.0,845,"['spici', 'vegan']",845.0,79
2020-04-01,21.0,2008,spicy chicken,1.0,845,"['spici', 'chicken']",845.0,75
2020-04-01,21.0,1021,winston wolf ,1.0,595,"['winston', 'wolf']",595.0,92
2020-04-01,21.0,1003,nice guy ,1.0,595,"['nice', 'guy']",595.0,63
2020-04-01,21.0,komboman13,django   ,1.0,795,['django'],795.0,17
2020-04-01,21.0,komboman12,pescado   ,1.0,795,['pescado'],795.0,67
2020-04-01,21.0,komboman13,django   ,1.0,795,['django'],795.0,17
2020-04-01,21.0,komboman12,pescado   ,1.0,795,['pescado'],795.0,67
