Dags reiknings,Kassanúmer,Vörunúmer,Lýsing,Magn,Upphæð m/VSK,Lýsing-stem,Price Per,ID
2020-02-01,2.0,1042,greenday lítil,1.0,990,"['greenday', 'lítil']",990.0,27
2020-02-01,2.0,6079,lítil chickenado,1.0,995,"['lítil', 'chickenado']",995.0,51
2020-02-01,2.0,6069,presley,1.0,995,['presley'],995.0,69
2020-02-01,2.0,6059,icelandic flurt lítil lítil,1.0,895,"['iceland', 'flurt', 'lítil', 'lítil']",895.0,37
2020-02-01,2.0,6009,lítil chickencado,1.0,895,"['lítil', 'chickencado']",895.0,9
2020-02-01,2.0,6032,nice guy,1.0,1195,"['nice', 'guy']",1195.0,63
2020-02-01,2.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",1195.0,75
2020-02-01,2.0,6026,chickencado,1.0,1195,['chickencado'],1195.0,8
2020-02-01,2.0,6032,nice guy,1.0,1195,"['nice', 'guy']",1195.0,63
2020-02-01,2.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",1195.0,75
2020-02-01,2.0,6037,mr  pink,1.0,1195,"['mr', 'pink']",1195.0,61
2020-02-01,2.0,6102,mr blonde ,1.0,1190,"['mr', 'blond']",1190.0,59
2020-02-01,2.0,6104,mr  blonde t combó,1.0,1195,"['mr', 'blond', 't', 'combó']",1195.0,59
2020-02-01,2.0,6026,chickencado,1.0,1195,['chickencado'],1195.0,8
2020-02-01,31.0,1041,greenday,1.0,1190,['greenday'],1190.0,26
2020-02-01,31.0,2062,mk elvis,1.0,995,"['mk', 'elvi']",995.0,19
2020-02-01,31.0,6079,lítil chickenado,1.0,995,"['lítil', 'chickenado']",995.0,51
2020-02-01,31.0,6079,lítil chickenado,1.0,995,"['lítil', 'chickenado']",995.0,51
2020-02-01,31.0,6069,presley,1.0,995,['presley'],995.0,69
2020-02-01,31.0,1017,presley lítil,1.0,990,"['presley', 'lítil']",990.0,70
2020-02-01,31.0,1007,presley ,1.0,1190,['presley'],1190.0,69
2020-02-01,31.0,1014,nice guy lítil,1.0,990,"['nice', 'guy', 'lítil']",990.0,64
2020-02-01,31.0,2060,elvis ,1.0,1190,['elvi'],1190.0,19
2020-02-01,31.0,2060,elvis ,1.0,1190,['elvi'],1190.0,19
2020-02-01,21.0,6009,lítil chickencado,6.0,5370,"['lítil', 'chickencado']",895.0,9
2020-02-01,21.0,2061,lítil elvis,1.0,895,"['lítil', 'elvi']",895.0,20
2020-02-01,21.0,6050,lítil pescado,1.0,895,"['lítil', 'pescado']",895.0,68
2020-02-01,21.0,6015,lítil nice guy,1.0,895,"['lítil', 'nice', 'guy']",895.0,64
2020-02-01,21.0,6009,lítil chickencado,1.0,895,"['lítil', 'chickencado']",895.0,9
2020-02-01,31.0,1015,honey bunny lítil,1.0,990,"['honey', 'bunni', 'lítil']",990.0,35
2020-02-01,31.0,2008,spicy chicken,1.0,1690,"['spici', 'chicken']",1690.0,75
2020-02-01,31.0,2008,spicy chicken,1.0,1690,"['spici', 'chicken']",1690.0,75
2020-02-01,2.0,6025,spicy tuna,1.0,1195,"['spici', 'tuna']",1195.0,77
2020-02-01,31.0,2014,lítil chicken cado,1.0,1050,"['lítil', 'chicken', 'cado']",1050.0,76
2020-02-01,31.0,2016,lítil spicy chicken,1.0,1050,"['lítil', 'spici', 'chicken']",1050.0,76
2020-02-01,31.0,2016,lítil spicy chicken,1.0,1050,"['lítil', 'spici', 'chicken']",1050.0,76
2020-02-01,2.0,6099,lotta love t combó,1.0,1195,"['lotta', 'love', 't', 'combó']",1195.0,48
2020-02-01,31.0,6100,lítil lotta love,1.0,895,"['lítil', 'lotta', 'love']",895.0,49
2020-02-01,31.0,6100,lítil lotta love,1.0,895,"['lítil', 'lotta', 'love']",895.0,49
2020-02-01,31.0,6012,lítil spicy chicken,1.0,895,"['lítil', 'spici', 'chicken']",895.0,76
2020-02-01,31.0,6012,lítil spicy chicken,1.0,895,"['lítil', 'spici', 'chicken']",895.0,76
2020-02-01,31.0,3002,hawaiian flirt ,1.0,1190,"['hawaiian', 'flirt']",1190.0,32
