Dags reiknings,Kassanúmer,Vörunúmer,Lýsing,Magn,Upphæð m/VSK,Lýsing-stem,Price Per,ID
2020-07-01,2.0,6013,lítil good times,1.0,895,"['lítil', 'good', 'time']",895.0,25
2020-07-01,2.0,6009,lítil chickencado,1.0,895,"['lítil', 'chickencado']",895.0,9
2020-07-01,2.0,6093,chicken curry,1.0,1195,"['chicken', 'curri']",1195.0,75
2020-07-01,2.0,6092,lítil chicken curry,1.0,895,"['lítil', 'chicken', 'curri']",895.0,76
2020-07-01,2.0,6013,lítil good times,1.0,895,"['lítil', 'good', 'time']",895.0,25
2020-07-01,2.0,10006,toppur appelsínu 0 5l,1.0,300,"['toppur', 'appelsínu', '0', '5l']",300.0,82
2020-07-01,2.0,10006,toppur appelsínu 0 5l,1.0,300,"['toppur', 'appelsínu', '0', '5l']",300.0,82
2020-07-01,2.0,6015,lítil nice guy,1.0,895,"['lítil', 'nice', 'guy']",895.0,64
2020-07-01,21.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",1195.0,75
2020-07-01,21.0,6036,presley,1.0,1195,['presley'],1195.0,69
2020-07-01,2.0,6006,lítil tunacado,1.0,895,"['lítil', 'tunacado']",895.0,87
2020-07-01,2.0,3001,indian flirt ,1.0,1190,"['indian', 'flirt']",1190.0,38
2020-07-01,21.0,1201,10 ipta djúort,1.0,10115,"['10', 'ipta', 'djúort']",10115.0,6
2020-07-01,21.0,1201,10 ipta djúort,1.0,10115,"['10', 'ipta', 'djúort']",10115.0,6
2020-07-01,21.0,7001,hafragrautur með epli,1.0,502,"['hafragrautur', 'með', 'epli']",502.0,28
2020-07-01,21.0,1001,good times ,1.0,1012,"['good', 'time']",1012.0,24
2020-07-01,2.0,6045,parmella   gos,1.0,1890,"['parmella', 'go']",1890.0,65
2020-07-01,2.0,2005,chickencado,1.0,1690,['chickencado'],1690.0,8
2020-07-01,2.0,6043,chickencado  gos,1.0,1890,"['chickencado', 'go']",1890.0,8
2020-07-01,2.0,2041,hangover kombó,1.0,1195,"['hangov', 'kombó']",1195.0,30
2020-07-01,2.0,6099,lotta love t combó,1.0,1195,"['lotta', 'love', 't', 'combó']",1195.0,48
2020-07-01,2.0,2060,elvis ,1.0,595,['elvi'],595.0,19
2020-07-01,2.0,2060,elvis ,1.0,595,['elvi'],595.0,19
2020-07-01,2.0,2005,chickencado,1.0,845,['chickencado'],845.0,8
2020-07-01,2.0,2005,chickencado,1.0,845,['chickencado'],845.0,8
2020-07-01,2.0,1007,presley ,1.0,1190,['presley'],1190.0,69
2020-07-01,2.0,2005,chickencado,1.0,1690,['chickencado'],1690.0,8
2020-07-01,2.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",1195.0,75
2020-07-01,2.0,6036,presley,1.0,1195,['presley'],1195.0,69
2020-07-01,2.0,6043,chickencado  gos,1.0,1890,"['chickencado', 'go']",1890.0,8
2020-07-01,2.0,1007,presley ,1.0,1190,['presley'],1190.0,69
2020-07-01,2.0,2059,elvis lítil,1.0,990,"['elvi', 'lítil']",990.0,20
2020-07-01,2.0,2008,spicy chicken,1.0,1690,"['spici', 'chicken']",1690.0,75
2020-07-01,2.0,2072,lítil samloka barna,1.0,550,"['lítil', 'samloka', 'barna']",550.0,51
2020-07-01,2.0,2071,lítil djús barna,1.0,550,"['lítil', 'djú', 'barna']",550.0,51
2020-07-01,2.0,2071,lítil djús barna,1.0,550,"['lítil', 'djú', 'barna']",550.0,51
2020-07-01,2.0,6083,lítil spicy chicken,1.0,995,"['lítil', 'spici', 'chicken']",995.0,76
2020-07-01,2.0,6066,nice guy,1.0,995,"['nice', 'guy']",995.0,63
2020-07-01,2.0,6030,good times,1.0,1195,"['good', 'time']",1195.0,24
2020-07-01,2.0,6026,chickencado,1.0,1195,['chickencado'],1195.0,8
2020-07-01,21.0,4003,caffe latte,1.0,495,"['caff', 'latt']",495.0,4
2020-07-01,31.0,9034,pescado   ,1.0,895,['pescado'],895.0,67
2020-07-01,31.0,9015,nice guy   lítil,1.0,895,"['nice', 'guy', 'lítil']",895.0,64
2020-07-01,31.0,2060,elvis ,1.0,1190,['elvi'],1190.0,19
2020-07-01,2.0,6026,chickencado,1.0,1195,['chickencado'],1195.0,8
2020-07-01,2.0,6026,chickencado,1.0,1195,['chickencado'],1195.0,8
2020-07-01,2.0,6032,nice guy,1.0,1195,"['nice', 'guy']",1195.0,63
2020-07-01,2.0,2005,chickencado,1.0,1690,['chickencado'],1690.0,8
2020-07-01,2.0,2008,spicy chicken,1.0,1690,"['spici', 'chicken']",1690.0,75
2020-07-01,2.0,1001,good times ,1.0,1190,"['good', 'time']",1190.0,24
2020-07-01,2.0,1001,good times ,1.0,1190,"['good', 'time']",1190.0,24
2020-07-01,31.0,1015,honey bunny lítil,1.0,990,"['honey', 'bunni', 'lítil']",990.0,35
2020-07-01,2.0,1013,good times lítil,1.0,495,"['good', 'time', 'lítil']",495.0,25
2020-07-01,2.0,1013,good times lítil,1.0,495,"['good', 'time', 'lítil']",495.0,25
2020-07-01,2.0,2014,lítil chicken cado,1.0,525,"['lítil', 'chicken', 'cado']",525.0,76
2020-07-01,2.0,2014,lítil chicken cado,1.0,525,"['lítil', 'chicken', 'cado']",525.0,76
2020-07-01,21.0,6085,lítil tunacado,1.0,995,"['lítil', 'tunacado']",995.0,87
2020-07-01,21.0,6064,good times,1.0,995,"['good', 'time']",995.0,24
2020-07-01,2.0,komboman16,chango  ,1.0,795,['chango'],795.0,6
2020-07-01,2.0,komboman19,dazed   ,1.0,795,['daze'],795.0,15
2020-07-01,2.0,2072,lítil samloka barna,1.0,550,"['lítil', 'samloka', 'barna']",550.0,51
2020-07-01,2.0,2071,lítil djús barna,1.0,550,"['lítil', 'djú', 'barna']",550.0,51
2020-07-01,2.0,2060,elvis ,1.0,1190,['elvi'],1190.0,19
2020-07-01,21.0,6082,lítil pescado,1.0,995,"['lítil', 'pescado']",995.0,68
2020-07-01,21.0,6101,mk lotta love,1.0,995,"['mk', 'lotta', 'love']",995.0,48
2020-07-01,2.0,2041,hangover kombó,8.0,9560,"['hangov', 'kombó']",1195.0,30
2020-07-01,2.0,6094,spicy vegan combó,1.0,1195,"['spici', 'vegan', 'combó']",1195.0,79
2020-07-01,2.0,6030,good times,9.0,10755,"['good', 'time']",1195.0,24
2020-07-01,2.0,6037,mr  pink,1.0,1195,"['mr', 'pink']",1195.0,61
2020-07-01,2.0,000005, poki,1.0,40,['poki'],40.0,50
2020-07-01,2.0,000005, poki,1.0,40,['poki'],40.0,50
2020-07-01,21.0,6026,chickencado,1.0,1195,['chickencado'],1195.0,8
2020-07-01,21.0,6036,presley,1.0,1195,['presley'],1195.0,69
2020-07-01,21.0,komboman19,dazed   ,1.0,795,['daze'],795.0,15
2020-07-01,21.0,komboman16,chango  ,1.0,795,['chango'],795.0,6
2020-07-01,21.0,6023,chango,1.0,1195,['chango'],1195.0,6
2020-07-01,21.0,2031,jj kombó,1.0,1195,"['jj', 'kombó']",1195.0,40
2020-07-01,31.0,2014,lítil chicken cado,1.0,1050,"['lítil', 'chicken', 'cado']",1050.0,76
2020-07-01,31.0,10003,coke 0 33l,1.0,300,"['coke', '0', '33l']",300.0,12
2020-07-01,21.0,4003,caffe latte,1.0,495,"['caff', 'latt']",495.0,4
2020-07-01,21.0,6025,spicy tuna,1.0,1195,"['spici', 'tuna']",1195.0,77
2020-07-01,21.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",1195.0,75
2020-07-01,21.0,6030,good times,1.0,1195,"['good', 'time']",1195.0,24
2020-07-01,21.0,6023,chango,1.0,1195,['chango'],1195.0,6
2020-07-01,21.0,6032,nice guy,1.0,1195,"['nice', 'guy']",1195.0,63
2020-07-01,2.0,komboman19,dazed   ,1.0,795,['daze'],795.0,15
2020-07-01,2.0,komboman16,chango  ,1.0,795,['chango'],795.0,6
2020-07-01,2.0,6015,lítil nice guy,1.0,895,"['lítil', 'nice', 'guy']",895.0,64
2020-07-01,2.0,6013,lítil good times,1.0,895,"['lítil', 'good', 'time']",895.0,25
2020-07-01,2.0,6009,lítil chickencado,1.0,895,"['lítil', 'chickencado']",895.0,9
2020-07-01,2.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",1195.0,75
2020-07-01,2.0,6032,nice guy,1.0,1195,"['nice', 'guy']",1195.0,63
2020-07-01,2.0,6026,chickencado,1.0,1195,['chickencado'],1195.0,8
2020-07-01,2.0,2031,jj kombó,1.0,1195,"['jj', 'kombó']",1195.0,40
2020-07-01,2.0,000004,lítil poki,1.0,20,"['lítil', 'poki']",20.0,50
2020-07-01,2.0,000005, poki,1.0,40,['poki'],40.0,50
2020-07-01,2.0,2006,mozzato,1.0,1690,['mozzato'],1690.0,57
2020-07-01,2.0,6027,mozzado,1.0,1195,['mozzado'],1195.0,6
2020-07-01,2.0,6012,lítil spicy chicken,1.0,895,"['lítil', 'spici', 'chicken']",895.0,76
2020-07-01,2.0,6015,lítil nice guy,1.0,895,"['lítil', 'nice', 'guy']",895.0,64
2020-07-01,2.0,5001,engiferot,1.0,390,['engiferot'],390.0,6
2020-07-01,2.0,6032,nice guy,1.0,1195,"['nice', 'guy']",1195.0,63
2020-07-01,2.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",1195.0,75
2020-07-01,2.0,6015,lítil nice guy,1.0,895,"['lítil', 'nice', 'guy']",895.0,64
2020-07-01,2.0,6012,lítil spicy chicken,1.0,895,"['lítil', 'spici', 'chicken']",895.0,76
2020-07-01,2.0,6015,lítil nice guy,1.0,895,"['lítil', 'nice', 'guy']",895.0,64
2020-07-01,2.0,6010,lítil mozzato,1.0,895,"['lítil', 'mozzato']",895.0,58
2020-07-01,2.0,6012,lítil spicy chicken,1.0,895,"['lítil', 'spici', 'chicken']",895.0,76
2020-07-01,2.0,6015,lítil nice guy,1.0,895,"['lítil', 'nice', 'guy']",895.0,64
2020-07-01,31.0,komboman19,dazed   ,1.0,795,['daze'],795.0,15
2020-07-01,31.0,komboman16,chango  ,1.0,795,['chango'],795.0,6
2020-07-01,31.0,3001,indian flirt ,1.0,1190,"['indian', 'flirt']",1190.0,38
2020-07-01,2.0,000005, poki,1.0,40,['poki'],40.0,50
2020-07-01,2.0,2059,elvis lítil,1.0,990,"['elvi', 'lítil']",990.0,20
2020-07-01,2.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",1195.0,75
2020-07-01,2.0,2008,spicy chicken,1.0,1690,"['spici', 'chicken']",1690.0,75
2020-07-01,2.0,2008,spicy chicken,1.0,1690,"['spici', 'chicken']",1690.0,75
2020-07-01,31.0,2060,elvis ,1.0,1190,['elvi'],1190.0,19
2020-07-01,2.0,4008,kaffi,1.0,440,['kaffi'],440.0,42
2020-07-01,2.0,4008,kaffi,1.0,440,['kaffi'],440.0,42
2020-07-01,2.0,5001,engiferot,1.0,390,['engiferot'],390.0,6
2020-07-01,2.0,6026,chickencado,1.0,1195,['chickencado'],1195.0,8
2020-07-01,2.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",1195.0,75
2020-07-01,2.0,6032,nice guy,1.0,1195,"['nice', 'guy']",1195.0,63
2020-07-01,2.0,6032,nice guy,1.0,1195,"['nice', 'guy']",1195.0,63
