Dags reiknings,Kassanúmer,Vörunúmer,Lýsing,Magn,Upphæð m/VSK,Lýsing-stem,Price Per,ID
2020-06-01,2.0,6015,lítil nice guy,1.0,895,"['lítil', 'nice', 'guy']",895.0,64
2020-06-01,2.0,6012,lítil spicy chicken,1.0,895,"['lítil', 'spici', 'chicken']",895.0,76
2020-06-01,2.0,6022,lítil alabama,1.0,895,"['lítil', 'alabama']",895.0,1
2020-06-01,2.0,6009,lítil chickencado,1.0,895,"['lítil', 'chickencado']",895.0,9
2020-06-01,2.0,2017,lítil parmella,1.0,1050,"['lítil', 'parmella']",1050.0,66
2020-06-01,2.0,10003,coke 0 33l,1.0,300,"['coke', '0', '33l']",300.0,12
2020-06-01,2.0,6102,mr blonde ,1.0,1190,"['mr', 'blond']",1190.0,59
2020-06-01,2.0,6060,djús vikunnar,1.0,1090,"['djú', 'vikunnar']",1090.0,6
2020-06-01,2.0,6093,chicken curry,1.0,1195,"['chicken', 'curri']",1195.0,75
2020-06-01,2.0,6055,icelandic flurt ,1.0,1195,"['iceland', 'flurt']",1195.0,36
2020-06-01,2.0,2027,jj lítil,1.0,990,"['jj', 'lítil']",990.0,41
2020-06-01,2.0,6107,mk spicy vegan,1.0,995,"['mk', 'spici', 'vegan']",995.0,79
2020-06-01,31.0,2071,lítil djús barna,1.0,550,"['lítil', 'djú', 'barna']",550.0,51
2020-06-01,31.0,2071,lítil djús barna,1.0,550,"['lítil', 'djú', 'barna']",550.0,51
2020-06-01,2.0,6067,honey bunny,1.0,995,"['honey', 'bunni']",995.0,34
2020-06-01,2.0,6025,spicy tuna,1.0,1195,"['spici', 'tuna']",1195.0,77
2020-06-01,2.0,6039,alabama,1.0,1195,['alabama'],1195.0,0
2020-06-01,21.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",1195.0,75
2020-06-01,21.0,6032,nice guy,1.0,1195,"['nice', 'guy']",1195.0,63
2020-06-01,31.0,1001,good times ,1.0,1190,"['good', 'time']",1190.0,24
2020-06-01,31.0,1013,good times lítil,1.0,990,"['good', 'time', 'lítil']",990.0,25
2020-06-01,21.0,6066,nice guy,1.0,995,"['nice', 'guy']",995.0,63
2020-06-01,21.0,6083,lítil spicy chicken,1.0,995,"['lítil', 'spici', 'chicken']",995.0,76
2020-06-01,21.0,6082,lítil pescado,1.0,995,"['lítil', 'pescado']",995.0,68
2020-06-01,21.0,6069,presley,1.0,995,['presley'],995.0,69
