Dags reiknings,Kassanúmer,Vörunúmer,Lýsing,Magn,Upphæð m/VSK,Lýsing-stem,Price Per,ID
2020-03-01,21.0,2005,chickencado,1.0,1690,['chickencado'],1690.0,8
2020-03-01,31.0,komboman9,elvis   ,1.0,557,['elvi'],557.0,19
2020-03-01,31.0,komboman8,hangover   ,1.0,557,['hangov'],557.0,30
2020-03-01,2.0,komboman11,spicy chicken   ,1.0,795,"['spici', 'chicken']",795.0,75
2020-03-01,2.0,komboman10,nice guy   ,1.0,795,"['nice', 'guy']",795.0,63
2020-03-01,2.0,6025,spicy tuna,1.0,1195,"['spici', 'tuna']",1195.0,77
2020-03-01,2.0,6032,nice guy,1.0,1195,"['nice', 'guy']",1195.0,63
2020-03-01,2.0,10002,coke light 0 33l,1.0,300,"['coke', 'light', '0', '33l']",300.0,12
2020-03-01,2.0,000004,lítil poki,1.0,20,"['lítil', 'poki']",20.0,50
2020-03-01,2.0,10001,coke zero 0 33l,1.0,300,"['coke', 'zero', '0', '33l']",300.0,14
2020-03-01,2.0,5001,engiferot,1.0,390,['engiferot'],390.0,6
2020-03-01,31.0,1003,nice guy ,1.0,1190,"['nice', 'guy']",1190.0,63
2020-03-01,31.0,1014,nice guy lítil,1.0,990,"['nice', 'guy', 'lítil']",990.0,64
2020-03-01,21.0,komboman10,nice guy   ,1.0,795,"['nice', 'guy']",795.0,63
2020-03-01,21.0,komboman11,spicy chicken   ,1.0,795,"['spici', 'chicken']",795.0,75
2020-03-01,31.0,1001,good times ,1.0,1190,"['good', 'time']",1190.0,24
2020-03-01,31.0,2014,lítil chicken cado,1.0,1050,"['lítil', 'chicken', 'cado']",1050.0,76
2020-03-01,21.0,6028,parmella,1.0,1195,['parmella'],1195.0,65
2020-03-01,31.0,6066,nice guy,1.0,995,"['nice', 'guy']",995.0,63
2020-03-01,31.0,6081,lítil parmella,1.0,995,"['lítil', 'parmella']",995.0,66
2020-03-01,21.0,2003,spicy tuna,1.0,1690,"['spici', 'tuna']",1690.0,77
2020-03-01,21.0,2007,parmella,1.0,1690,['parmella'],1690.0,65
2020-03-01,21.0,2067,avókadó,1.0,220,['avókadó'],220.0,6
2020-03-01,31.0,komboman10,nice guy   ,1.0,557,"['nice', 'guy']",557.0,63
2020-03-01,31.0,komboman11,spicy chicken   ,1.0,557,"['spici', 'chicken']",557.0,75
2020-03-01,31.0,2059,elvis lítil,1.0,990,"['elvi', 'lítil']",990.0,20
2020-03-01,31.0,2059,elvis lítil,1.0,990,"['elvi', 'lítil']",990.0,20
2020-03-01,21.0,6083,lítil spicy chicken,1.0,995,"['lítil', 'spici', 'chicken']",995.0,76
2020-03-01,21.0,6066,nice guy,1.0,995,"['nice', 'guy']",995.0,63
2020-03-01,2.0,6032,nice guy,1.0,1195,"['nice', 'guy']",1195.0,63
2020-03-01,2.0,2041,hangover kombó,1.0,1195,"['hangov', 'kombó']",1195.0,30
2020-03-01,2.0,6032,nice guy,1.0,1195,"['nice', 'guy']",1195.0,63
2020-03-01,2.0,6026,chickencado,1.0,1195,['chickencado'],1195.0,8
2020-03-01,2.0,000004,lítil poki,1.0,20,"['lítil', 'poki']",20.0,50
2020-03-01,21.0,2002,tunacado,1.0,845,['tunacado'],845.0,86
2020-03-01,21.0,2002,tunacado,1.0,845,['tunacado'],845.0,86
2020-03-01,21.0,2012,lítil tunacado,1.0,1050,"['lítil', 'tunacado']",1050.0,87
2020-03-01,31.0,2005,chickencado,1.0,1690,['chickencado'],1690.0,8
2020-03-01,31.0,2005,chickencado,1.0,1690,['chickencado'],1690.0,8
2020-03-01,31.0,2014,lítil chicken cado,1.0,1050,"['lítil', 'chicken', 'cado']",1050.0,76
2020-03-01,31.0,2014,lítil chicken cado,1.0,1050,"['lítil', 'chicken', 'cado']",1050.0,76
2020-03-01,21.0,2014,lítil chicken cado,1.0,1050,"['lítil', 'chicken', 'cado']",1050.0,76
2020-03-01,21.0,2072,lítil samloka barna,1.0,550,"['lítil', 'samloka', 'barna']",550.0,51
2020-03-01,21.0,2071,lítil djús barna,1.0,550,"['lítil', 'djú', 'barna']",550.0,51
2020-03-01,21.0,1003,nice guy ,1.0,595,"['nice', 'guy']",595.0,63
2020-03-01,21.0,1003,nice guy ,1.0,595,"['nice', 'guy']",595.0,63
2020-03-01,21.0,6015,lítil nice guy,1.0,895,"['lítil', 'nice', 'guy']",895.0,64
2020-03-01,21.0,6009,lítil chickencado,1.0,895,"['lítil', 'chickencado']",895.0,9
2020-03-01,21.0,2072,lítil samloka barna,1.0,550,"['lítil', 'samloka', 'barna']",550.0,51
2020-03-01,21.0,2071,lítil djús barna,1.0,550,"['lítil', 'djú', 'barna']",550.0,51
2020-03-01,21.0,000005, poki,1.0,40,['poki'],40.0,50
2020-03-01,2.0,komboman10,nice guy   ,1.0,795,"['nice', 'guy']",795.0,63
2020-03-01,2.0,komboman11,spicy chicken   ,1.0,795,"['spici', 'chicken']",795.0,75
2020-03-01,2.0,komboman10,nice guy   ,1.0,795,"['nice', 'guy']",795.0,63
2020-03-01,2.0,komboman11,spicy chicken   ,1.0,795,"['spici', 'chicken']",795.0,75
2020-03-01,31.0,1001,good times ,1.0,833,"['good', 'time']",833.0,24
2020-03-01,2.0,6009,lítil chickencado,1.0,895,"['lítil', 'chickencado']",895.0,9
2020-03-01,2.0,AHA04,lítil chickencado,1.0,0,"['lítil', 'chickencado']",0.0,9
2020-03-01,2.0,AHA11,lítil good times,1.0,0,"['lítil', 'good', 'time']",0.0,25
2020-03-01,2.0,1020,alabama lítil,1.0,990,"['alabama', 'lítil']",990.0,1
2020-03-01,2.0,6026,chickencado,1.0,1195,['chickencado'],1195.0,8
2020-03-01,2.0,6032,nice guy,1.0,1195,"['nice', 'guy']",1195.0,63
2020-03-01,2.0,6026,chickencado,1.0,1195,['chickencado'],1195.0,8
2020-03-01,2.0,6032,nice guy,1.0,1195,"['nice', 'guy']",1195.0,63
2020-03-01,2.0,komboman10,nice guy   ,1.0,795,"['nice', 'guy']",795.0,63
2020-03-01,2.0,komboman11,spicy chicken   ,1.0,795,"['spici', 'chicken']",795.0,75
2020-03-01,21.0,2005,chickencado,1.0,1690,['chickencado'],1690.0,8
2020-03-01,21.0,6026,chickencado,1.0,1195,['chickencado'],1195.0,8
2020-03-01,21.0,6036,presley,1.0,1195,['presley'],1195.0,69
2020-03-01,21.0,000004,lítil poki,1.0,20,"['lítil', 'poki']",20.0,50
2020-03-01,31.0,2007,parmella,1.0,1690,['parmella'],1690.0,65
2020-03-01,21.0,2004,spicy vegan,1.0,1690,"['spici', 'vegan']",1690.0,79
2020-03-01,31.0,1003,nice guy ,1.0,1190,"['nice', 'guy']",1190.0,63
2020-03-01,31.0,2071,lítil djús barna,1.0,550,"['lítil', 'djú', 'barna']",550.0,51
2020-03-01,2.0,6026,chickencado,1.0,1195,['chickencado'],1195.0,8
2020-03-01,2.0,6030,good times,1.0,1195,"['good', 'time']",1195.0,24
2020-03-01,2.0,6107,mk spicy vegan,1.0,995,"['mk', 'spici', 'vegan']",995.0,79
2020-03-01,2.0,6064,good times,1.0,995,"['good', 'time']",995.0,24
2020-03-01,31.0,2044,vanilla flirt lítil,1.0,990,"['vanilla', 'flirt', 'lítil']",990.0,90
