Dags reiknings,Kassanúmer,Vörunúmer,Lýsing,Magn,Upphæð m/VSK,Lýsing-stem,Price Per,ID
2020-05-01,2.0,6027,mozzado,4.0,4780,['mozzado'],1195.0,6
2020-05-01,2.0,6026,chickencado,1.0,1195,['chickencado'],1195.0,8
2020-05-01,2.0,6032,nice guy,1.0,1195,"['nice', 'guy']",1195.0,63
2020-05-01,2.0,6027,mozzado,1.0,1195,['mozzado'],1195.0,6
2020-05-01,2.0,6104,mr  blonde t combó,1.0,1195,"['mr', 'blond', 't', 'combó']",1195.0,59
2020-05-01,2.0,6039,alabama,1.0,1195,['alabama'],1195.0,0
2020-05-01,2.0,6049,pescado,1.0,1195,['pescado'],1195.0,67
2020-05-01,2.0,6104,mr  blonde t combó,1.0,1195,"['mr', 'blond', 't', 'combó']",1195.0,59
2020-05-01,2.0,6037,mr  pink,1.0,1195,"['mr', 'pink']",1195.0,61
2020-05-01,2.0,6024,tunacado,1.0,1195,['tunacado'],1195.0,86
2020-05-01,2.0,000004,lítil poki,1.0,20,"['lítil', 'poki']",20.0,50
2020-05-01,2.0,2076, chickencado,1.0,990,['chickencado'],990.0,8
2020-05-01,2.0,2080, pescado,1.0,990,['pescado'],990.0,67
2020-05-01,2.0,2083, chickensalsa,1.0,990,['chickensalsa'],990.0,6
2020-05-01,2.0,komboman14,icelandic flirt   ,1.0,795,"['iceland', 'flirt']",795.0,36
2020-05-01,2.0,komboman15,chickencurry   ,1.0,795,['chickencurri'],795.0,10
2020-05-01,2.0,komboman14,icelandic flirt   ,1.0,795,"['iceland', 'flirt']",795.0,36
2020-05-01,2.0,komboman15,chickencurry   ,1.0,795,['chickencurri'],795.0,10
2020-05-01,2.0,000004,lítil poki,1.0,20,"['lítil', 'poki']",20.0,50
2020-05-01,2.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",1195.0,75
2020-05-01,2.0,6055,icelandic flurt ,1.0,1195,"['iceland', 'flurt']",1195.0,36
2020-05-01,2.0,6026,chickencado,1.0,1195,['chickencado'],1195.0,8
2020-05-01,2.0,6036,presley,1.0,1195,['presley'],1195.0,69
2020-05-01,2.0,6012,lítil spicy chicken,1.0,895,"['lítil', 'spici', 'chicken']",895.0,76
2020-05-01,2.0,6019,lítil presley,1.0,895,"['lítil', 'presley']",895.0,70
2020-05-01,21.0,6093,chicken curry,1.0,1195,"['chicken', 'curri']",1195.0,75
2020-05-01,21.0,2069,chilli tabasco,1.0,110,"['chilli', 'tabasco']",110.0,6
2020-05-01,21.0,2031,jj kombó,1.0,1195,"['jj', 'kombó']",1195.0,40
2020-05-01,2.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",1195.0,75
2020-05-01,2.0,6032,nice guy,1.0,1195,"['nice', 'guy']",1195.0,63
2020-05-01,2.0,2063,elvis kombó,1.0,1195,"['elvi', 'kombó']",1195.0,19
2020-05-01,2.0,6026,chickencado,1.0,1195,['chickencado'],1195.0,8
2020-05-01,2.0,6079,lítil chickenado,1.0,995,"['lítil', 'chickenado']",995.0,51
2020-05-01,2.0,2062,mk elvis,1.0,995,"['mk', 'elvi']",995.0,19
2020-05-01,21.0,6009,lítil chickencado,1.0,895,"['lítil', 'chickencado']",895.0,9
2020-05-01,21.0,6015,lítil nice guy,1.0,895,"['lítil', 'nice', 'guy']",895.0,64
2020-05-01,21.0,6079,lítil chickenado,1.0,995,"['lítil', 'chickenado']",995.0,51
2020-05-01,21.0,6064,good times,1.0,995,"['good', 'time']",995.0,24
2020-05-01,2.0,komboman15,chickencurry   ,1.0,795,['chickencurri'],795.0,10
2020-05-01,2.0,komboman14,icelandic flirt   ,1.0,795,"['iceland', 'flirt']",795.0,36
2020-05-01,2.0,komboman15,chickencurry   ,1.0,795,['chickencurri'],795.0,10
2020-05-01,2.0,komboman14,icelandic flirt   ,1.0,795,"['iceland', 'flirt']",795.0,36
2020-05-01,2.0,2005,chickencado,1.0,1690,['chickencado'],1690.0,8
2020-05-01,2.0,2005,chickencado,1.0,1690,['chickencado'],1690.0,8
2020-05-01,2.0,1003,nice guy ,1.0,1190,"['nice', 'guy']",1190.0,63
2020-05-01,2.0,1003,nice guy ,1.0,1190,"['nice', 'guy']",1190.0,63
2020-05-01,2.0,2070,mozzarella,1.0,220,['mozzarella'],220.0,6
2020-05-01,2.0,2070,mozzarella,1.0,220,['mozzarella'],220.0,6
2020-05-01,21.0,6049,pescado,1.0,1195,['pescado'],1195.0,67
2020-05-01,21.0,6033,honey bunny,1.0,1195,"['honey', 'bunni']",1195.0,34
2020-05-01,21.0,6026,chickencado,1.0,1195,['chickencado'],1195.0,8
2020-05-01,21.0,2063,elvis kombó,1.0,1195,"['elvi', 'kombó']",1195.0,19
2020-05-01,21.0,6079,lítil chickenado,1.0,995,"['lítil', 'chickenado']",995.0,51
2020-05-01,21.0,6069,presley,1.0,995,['presley'],995.0,69
2020-05-01,21.0,6080,lítil mozzto,1.0,995,"['lítil', 'mozzto']",995.0,51
2020-05-01,21.0,6106,mk  mr  blonde,1.0,995,"['mk', 'mr', 'blond']",995.0,59
2020-05-01,2.0,1015,honey bunny lítil,1.0,990,"['honey', 'bunni', 'lítil']",990.0,35
2020-05-01,2.0,2003,spicy tuna,1.0,845,"['spici', 'tuna']",845.0,77
2020-05-01,2.0,1007,presley ,1.0,595,['presley'],595.0,69
2020-05-01,2.0,2004,spicy vegan,1.0,845,"['spici', 'vegan']",845.0,79
2020-05-01,2.0,1004,honey bunny ,1.0,595,"['honey', 'bunni']",595.0,34
2020-05-01,2.0,1008,mr  pink ,1.0,595,"['mr', 'pink']",595.0,61
2020-05-01,2.0,2041,hangover kombó,1.0,956,"['hangov', 'kombó']",956.0,30
2020-05-01,2.0,6049,pescado,1.0,1195,['pescado'],1195.0,67
