Dags reiknings,Kassanúmer,Vörunúmer,Lýsing,Magn,Upphæð m/VSK,Lýsing-stem,ID
2020-10-14,21.0,6079,2 lítil chickenado,1.0,995,"['2', 'lítil', 'chickenado']",51
2020-10-14,21.0,2014,2 lítil chicken cado,1.0,525,"['2', 'lítil', 'chicken', 'cado']",76
2020-10-14,21.0,2014,2 lítil chicken cado,1.0,525,"['2', 'lítil', 'chicken', 'cado']",76
2020-10-14,21.0,1003,nice guy ,1.0,595,"['nice', 'guy']",63
2020-10-14,21.0,1003,nice guy ,1.0,595,"['nice', 'guy']",63
2020-10-14,2.0,2005,2 chickencado,1.0,1690,"['2', 'chickencado']",8
2020-10-14,2.0,3201,ketó chickencado,1.0,1490,"['ketó', 'chickencado']",8
2020-10-14,2.0,2070,mozzarella,1.0,220,['mozzarella'],6
2020-10-14,2.0,1001,2 good times ,1.0,1190,"['2', 'good', 'time']",24
2020-10-14,2.0,5002,djús 6pack,1.0,3490,"['djú', '6pack']",6
2020-10-14,2.0,5002,djús 6pack,1.0,3490,"['djú', '6pack']",6
2020-10-14,2.0,komboman4,mozzata   ,1.0,795,['mozzata'],6
2020-10-14,2.0,komboman9,7 elvis   ,1.0,795,"['7', 'elvi']",19
2020-10-14,2.0,6026,2 chickencado,1.0,1195,"['2', 'chickencado']",8
2020-10-14,2.0,6030,2 good times,1.0,1195,"['2', 'good', 'time']",24
2020-10-14,2.0,6030,2 good times,1.0,1195,"['2', 'good', 'time']",24
2020-10-14,2.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",75
2020-10-14,2.0,2005,2 chickencado,1.0,1690,"['2', 'chickencado']",8
2020-10-14,2.0,2008,spicy chicken,1.0,1690,"['spici', 'chicken']",75
2020-10-14,2.0,2008,spicy chicken,1.0,1690,"['spici', 'chicken']",75
2020-10-14,2.0,2003,spicy tuna,1.0,1690,"['spici', 'tuna']",77
2020-10-14,2.0,2003,spicy tuna,1.0,1690,"['spici', 'tuna']",77
2020-10-14,2.0,2003,spicy tuna,1.0,1690,"['spici', 'tuna']",77
2020-10-14,2.0,2003,spicy tuna,1.0,1690,"['spici', 'tuna']",77
2020-10-14,2.0,2003,spicy tuna,1.0,1690,"['spici', 'tuna']",77
2020-10-14,2.0,1017,presley lítil,1.0,990,"['presley', 'lítil']",70
2020-10-14,2.0,1014,nice guy lítil,1.0,990,"['nice', 'guy', 'lítil']",64
2020-10-14,2.0,1013,2 good times lítil,1.0,990,"['2', 'good', 'time', 'lítil']",25
2020-10-14,2.0,1013,2 good times lítil,1.0,990,"['2', 'good', 'time', 'lítil']",25
2020-10-14,2.0,1013,2 good times lítil,1.0,990,"['2', 'good', 'time', 'lítil']",25
2020-10-14,2.0,1013,2 good times lítil,1.0,990,"['2', 'good', 'time', 'lítil']",25
2020-10-14,2.0,1013,2 good times lítil,1.0,990,"['2', 'good', 'time', 'lítil']",25
2020-10-14,2.0,5001,engiferot,8.0,3120,['engiferot'],6
2020-10-14,21.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",75
2020-10-14,21.0,6038,10  django,1.0,1195,"['10', 'django']",17
2020-10-14,2.0,6046,spicy chicken   gos,1.0,1890,"['spici', 'chicken', 'go']",75
2020-10-14,2.0,6026,2 chickencado,1.0,1195,"['2', 'chickencado']",8
2020-10-14,2.0,6036,presley,1.0,1195,['presley'],69
2020-10-14,21.0,4008,kaffi,1.0,440,['kaffi'],42
2020-10-14,2.0,6036,presley,1.0,1195,['presley'],69
2020-10-14,2.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",75
2020-10-14,2.0,6036,presley,1.0,1195,['presley'],69
2020-10-14,21.0,10003,coke 0 33l,1.0,300,"['coke', '0', '33l']",12
2020-10-14,21.0,770005,súkkulaðiklatti,1.0,490,['súkkulaðiklatti'],6
2020-10-14,21.0,000004,lítil poki,1.0,20,"['lítil', 'poki']",50
2020-10-14,2.0,10001,coke zero 0 33l,1.0,300,"['coke', 'zero', '0', '33l']",14
2020-10-14,2.0,1003,nice guy ,1.0,1190,"['nice', 'guy']",63
2020-10-14,2.0,000005, poki,1.0,40,['poki'],50
2020-10-14,2.0,komboman4,mozzata   ,1.0,795,['mozzata'],6
2020-10-14,2.0,komboman9,7 elvis   ,1.0,795,"['7', 'elvi']",19
2020-10-14,2.0,000004,lítil poki,1.0,20,"['lítil', 'poki']",50
2020-10-14,2.0,6046,spicy chicken   gos,1.0,1890,"['spici', 'chicken', 'go']",75
2020-10-14,21.0,6026,2 chickencado,1.0,1195,"['2', 'chickencado']",8
2020-10-14,21.0,6099,lotta love t combó,1.0,1195,"['lotta', 'love', 't', 'combó']",48
2020-10-14,21.0,000004,lítil poki,1.0,20,"['lítil', 'poki']",50
2020-10-14,2.0,6032,nice guy,1.0,1195,"['nice', 'guy']",63
2020-10-14,2.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",75
2020-10-14,2.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",75
2020-10-14,2.0,6032,nice guy,1.0,1195,"['nice', 'guy']",63
2020-10-14,2.0,2014,2 lítil chicken cado,1.0,945,"['2', 'lítil', 'chicken', 'cado']",76
2020-10-14,21.0,2071,lítil djús barna,1.0,550,"['lítil', 'djú', 'barna']",51
2020-10-14,21.0,2072,lítil samloka barna,1.0,550,"['lítil', 'samloka', 'barna']",51
2020-10-14,21.0,komboman4,mozzata   ,1.0,795,['mozzata'],6
2020-10-14,21.0,komboman9,7 elvis   ,1.0,795,"['7', 'elvi']",19
2020-10-14,21.0,6026,2 chickencado,1.0,1195,"['2', 'chickencado']",8
2020-10-14,21.0,6038,10  django,1.0,1195,"['10', 'django']",17
2020-10-14,21.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",75
2020-10-14,21.0,6047,winston wolf,1.0,1195,"['winston', 'wolf']",92
2020-10-14,2.0,6031,8   dazed,1.0,1195,"['8', 'daze']",15
2020-10-14,2.0,6093,9   chicken curry,1.0,1195,"['9', 'chicken', 'curri']",75
2020-10-14,2.0,6015,lítil nice guy,1.0,895,"['lítil', 'nice', 'guy']",64
2020-10-14,2.0,6026,2 chickencado,1.0,1195,"['2', 'chickencado']",8
2020-10-14,2.0,6032,nice guy,1.0,1195,"['nice', 'guy']",63
2020-10-14,21.0,6043,2 chickencado  gos,1.0,1890,"['2', 'chickencado', 'go']",8
2020-10-14,21.0,2070,mozzarella,1.0,220,['mozzarella'],6
2020-10-14,21.0,6025,spicy tuna,1.0,1195,"['spici', 'tuna']",77
2020-10-14,21.0,2063,7 elvis kombó,1.0,1195,"['7', 'elvi', 'kombó']",19
2020-10-14,21.0,10006,toppur appelsínu 0 5l,1.0,300,"['toppur', 'appelsínu', '0', '5l']",82
2020-10-14,21.0,770005,súkkulaðiklatti,1.0,490,['súkkulaðiklatti'],6
2020-10-14,21.0,6028,parmella,1.0,1195,['parmella'],65
2020-10-14,21.0,2063,7 elvis kombó,1.0,1195,"['7', 'elvi', 'kombó']",19
2020-10-14,2.0,6026,2 chickencado,1.0,1195,"['2', 'chickencado']",8
2020-10-14,2.0,6026,2 chickencado,1.0,1195,"['2', 'chickencado']",8
2020-10-14,2.0,6028,parmella,1.0,1195,['parmella'],65
2020-10-14,2.0,6028,parmella,1.0,1195,['parmella'],65
2020-10-14,2.0,6093,9   chicken curry,1.0,1195,"['9', 'chicken', 'curri']",75
2020-10-14,2.0,6032,nice guy,1.0,1195,"['nice', 'guy']",63
2020-10-14,2.0,6032,nice guy,1.0,1195,"['nice', 'guy']",63
2020-10-14,2.0,6037,mr  pink,1.0,1195,"['mr', 'pink']",61
2020-10-14,2.0,6036,presley,1.0,1195,['presley'],69
2020-10-14,2.0,6036,presley,1.0,1195,['presley'],69
2020-10-14,2.0,6032,nice guy,1.0,1195,"['nice', 'guy']",63
2020-10-14,2.0,000005, poki,1.0,40,['poki'],50
2020-10-14,21.0,6093,9   chicken curry,1.0,1195,"['9', 'chicken', 'curri']",75
2020-10-14,21.0,2063,7 elvis kombó,1.0,1195,"['7', 'elvi', 'kombó']",19
2020-10-14,21.0,6009,lítil chickencado,1.0,895,"['lítil', 'chickencado']",9
2020-10-14,21.0,6015,lítil nice guy,1.0,895,"['lítil', 'nice', 'guy']",64
2020-10-14,21.0,2008,spicy chicken,1.0,1690,"['spici', 'chicken']",75
2020-10-14,2.0,6046,spicy chicken   gos,1.0,1890,"['spici', 'chicken', 'go']",75
2020-10-14,21.0,komboman9,7 elvis   ,1.0,795,"['7', 'elvi']",19
2020-10-14,21.0,komboman4,mozzata   ,1.0,795,['mozzata'],6
2020-10-14,21.0,komboman4,mozzata   ,1.0,795,['mozzata'],6
2020-10-14,2.0,6025,spicy tuna,1.0,1195,"['spici', 'tuna']",77
2020-10-14,2.0,6039,5 alabama,1.0,1195,"['5', 'alabama']",0
2020-10-14,2.0,6026,2 chickencado,1.0,1195,"['2', 'chickencado']",8
2020-10-14,2.0,6032,nice guy,1.0,1195,"['nice', 'guy']",63
2020-10-14,2.0,000004,lítil poki,1.0,20,"['lítil', 'poki']",50
2020-10-14,21.0,2059,7 elvis lítil,1.0,990,"['7', 'elvi', 'lítil']",20
2020-10-14,21.0,2060,7 elvis ,1.0,1190,"['7', 'elvi']",19
2020-10-14,2.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",75
2020-10-14,2.0,1100,gjafabréf nr  1618,-1.0,-2390,"['gjafabréf', 'nr', '1618']",23
2020-10-14,2.0,6043,2 chickencado  gos,1.0,1512,"['2', 'chickencado', 'go']",8
2020-10-14,2.0,2066,kjöt,1.0,220,['kjöt'],47
2020-10-14,21.0,komboman4,mozzata   ,1.0,795,['mozzata'],6
2020-10-14,21.0,komboman9,7 elvis   ,1.0,795,"['7', 'elvi']",19
2020-10-14,21.0,komboman9,7 elvis   ,1.0,795,"['7', 'elvi']",19
2020-10-14,21.0,komboman4,mozzata   ,1.0,795,['mozzata'],6
2020-10-14,2.0,6046,spicy chicken   gos,1.0,1890,"['spici', 'chicken', 'go']",75
2020-10-14,2.0,6028,parmella,1.0,1195,['parmella'],65
2020-10-14,2.0,6030,2 good times,1.0,1195,"['2', 'good', 'time']",24
2020-10-14,2.0,6023,11 chango,1.0,1195,"['11', 'chango']",6
2020-10-14,21.0,6026,2 chickencado,1.0,1195,"['2', 'chickencado']",8
2020-10-14,21.0,2063,7 elvis kombó,1.0,1195,"['7', 'elvi', 'kombó']",19
2020-10-14,21.0,6023,11 chango,1.0,1195,"['11', 'chango']",6
2020-10-14,21.0,6030,2 good times,1.0,1195,"['2', 'good', 'time']",24
2020-10-14,21.0,1041,greenday,1.0,1190,['greenday'],26
2020-10-14,2.0,6026,2 chickencado,1.0,1195,"['2', 'chickencado']",8
2020-10-14,2.0,6026,2 chickencado,1.0,1195,"['2', 'chickencado']",8
2020-10-14,21.0,2067,avókadó,1.0,220,['avókadó'],6
2020-10-14,2.0,6036,presley,1.0,1195,['presley'],69
2020-10-14,2.0,2031,7 jj kombó,1.0,1195,"['7', 'jj', 'kombó']",40
2020-10-14,2.0,000004,lítil poki,1.0,20,"['lítil', 'poki']",50
2020-10-14,2.0,6046,spicy chicken   gos,1.0,1890,"['spici', 'chicken', 'go']",75
2020-10-14,21.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",75
2020-10-14,21.0,2063,7 elvis kombó,1.0,1195,"['7', 'elvi', 'kombó']",19
2020-10-14,21.0,6028,parmella,1.0,1195,['parmella'],65
2020-10-14,21.0,2048,vanilla flirt kombó,1.0,1195,"['vanilla', 'flirt', 'kombó']",89
2020-10-14,21.0,2044,vanilla flirt lítil,1.0,990,"['vanilla', 'flirt', 'lítil']",90
2020-10-14,21.0,000004,lítil poki,1.0,20,"['lítil', 'poki']",50
2020-10-14,21.0,2041,3 hangover kombó,1.0,1195,"['3', 'hangov', 'kombó']",30
